time,seconds_elapsed,z,y,x
1775033801156041700,0.070041748046875,0.017715077847242355,-0.46364638209342957,-0.3591884970664978
1775033801207522600,0.1215224609375,-0.012217295356094837,0.2101374864578247,0.11362084746360779
1775033801259003600,0.173003662109375,-0.003665188793092966,0.05070177838206291,0.04214967042207718
1775033801310484500,0.224484375,0.009162971749901772,-0.3958403766155243,-0.21380266547203064
1775033801361965300,0.27596533203125,-0.01893680728971958,0.47952884435653687,0.2981020212173462
1775033801413446100,0.327446044921875,0.0054977829568088055,-0.18570289015769958,-0.12705987691879272
1775033801464927000,0.378927001953125,0.004276053514331579,-0.22235478460788727,-0.12034036219120026
1775033801516407800,0.43040771484375,-0.007330377586185932,0.10506874322891235,0.05803215503692627
1775033801567888600,0.481888671875,-0.006719512399286032,0.08124501258134842,0.04459312930703163
1775033801619369500,0.533369384765625,-0.001832594396546483,-0.028099779039621353,-0.01588248461484909
1775033801713751000,0.6277509765625,-0.003665188793092966,-0.0054977829568088055,-0.004886918235570192
1775033801765231900,0.67923193359375,-0.002443459117785096,-0.006719512399286032,-0.003665188793092966
1775033801816713000,0.730712890625,-0.002443459117785096,-0.006719512399286032,-0.004886918235570192
1775033801868193800,0.78219384765625,-0.002443459117785096,-0.0054977829568088055,-0.0030543238390237093
1775033801919674600,0.833674560546875,-0.002443459117785096,-0.006108647678047419,-0.003665188793092966
1775033802014056200,0.92805615234375,-0.001832594396546483,-0.004886918235570192,-0.004276053514331579
1775033802065537000,0.979537109375,-0.0030543238390237093,-0.006719512399286032,-0.003665188793092966
1775033802117017900,1.031017822265625,-0.002443459117785096,-0.0054977829568088055,-0.003665188793092966
1775033802168498700,1.082498779296875,-0.001832594396546483,-0.006108647678047419,-0.004276053514331579
1775033802219979500,1.1339794921875,-0.001832594396546483,-0.006719512399286032,-0.003665188793092966
1775033802271460400,1.18546044921875,-0.001832594396546483,-0.004276053514331579,-0.003665188793092966
1775033802322941200,1.236941162109375,-0.002443459117785096,-0.006108647678047419,-0.004276053514331579
1775033802374422000,1.288422119140625,-0.0030543238390237093,-0.0054977829568088055,-0.003665188793092966
1775033802425902800,1.33990283203125,-0.002443459117785096,-0.0054977829568088055,-0.004276053514331579
1775033802477383700,1.3913837890625,-0.002443459117785096,-0.006108647678047419,-0.003665188793092966
1775033802528864500,1.442864501953125,-0.002443459117785096,-0.006108647678047419,-0.004886918235570192
1775033802580345300,1.494345458984375,-0.001832594396546483,-0.004886918235570192,-0.004276053514331579
1775033802631826200,1.545826171875,-0.0030543238390237093,-0.0054977829568088055,-0.003665188793092966
1775033802683307300,1.597307373046875,-0.0030543238390237093,-0.006108647678047419,-0.003665188793092966
1775033802734788000,1.6487880859375,-0.002443459117785096,-0.0054977829568088055,-0.004276053514331579
1775033802786269000,1.70026904296875,-0.0030543238390237093,-0.006108647678047419,-0.004276053514331579
1775033802837749800,1.751749755859375,-0.002443459117785096,-0.006108647678047419,-0.003665188793092966
1775033802889230600,1.803230712890625,-0.002443459117785096,-0.006108647678047419,-0.004886918235570192
1775033802940711400,1.85471142578125,-0.002443459117785096,-0.006719512399286032,-0.004276053514331579
1775033802992192300,1.906192138671875,-0.002443459117785096,-0.0054977829568088055,-0.0030543238390237093
1775033803043673000,1.957673095703125,-0.0030543238390237093,-0.006719512399286032,-0.003665188793092966
1775033803095154000,2.00915380859375,-0.001832594396546483,-0.0054977829568088055,-0.0030543238390237093
1775033803146634800,2.060634765625,-0.002443459117785096,-0.006108647678047419,-0.002443459117785096
1775033803198115600,2.112115478515625,-0.0030543238390237093,-0.004276053514331579,-0.003665188793092966
1775033803249596400,2.163596435546875,-0.0030543238390237093,-0.006108647678047419,-0.004276053514331579
1775033803301077200,2.2150771484375,-0.002443459117785096,-0.0054977829568088055,-0.004276053514331579
1775033803352558000,2.26655810546875,-0.002443459117785096,-0.006108647678047419,-0.0030543238390237093
1775033803404039000,2.318038818359375,-0.002443459117785096,-0.0054977829568088055,-0.004276053514331579
1775033803455519700,2.369519775390625,-0.001832594396546483,-0.006108647678047419,-0.003665188793092966
1775033803507000800,2.421000732421875,-0.002443459117785096,-0.006108647678047419,-0.004276053514331579
1775033803558481700,2.472481689453125,-0.002443459117785096,-0.006719512399286032,-0.004276053514331579
1775033803609962500,2.52396240234375,-0.0030543238390237093,-0.006108647678047419,-0.003665188793092966
1775033803661443300,2.575443359375,-0.002443459117785096,-0.004886918235570192,-0.003665188793092966
1775033803712924200,2.626924072265625,-0.001832594396546483,-0.006108647678047419,-0.0030543238390237093
1775033803764405000,2.678405029296875,-0.0030543238390237093,-0.006108647678047419,-0.004276053514331579
1775033803815885800,2.7298857421875,-0.002443459117785096,-0.006719512399286032,-0.001832594396546483
1775033803867366700,2.78136669921875,-0.0030543238390237093,-0.0054977829568088055,-0.0030543238390237093
1775033803918847500,2.832847412109375,-0.0030543238390237093,-0.0054977829568088055,-0.003665188793092966
1775033803970328300,2.884328369140625,-0.002443459117785096,-0.006719512399286032,-0.004886918235570192
1775033804021809200,2.93580908203125,-0.002443459117785096,-0.006108647678047419,-0.0030543238390237093
