time,seconds_elapsed,z,y,x
1775033685423140400,0.076140380859375,9.34875774383545,1.5840486288070679,-0.638883650302887
1775033685474618000,0.1276181640625,9.937392234802246,1.6630117893218994,-0.5575276613235474
1775033685526098700,0.1790986328125,9.607182502746582,1.7467604875564575,-0.5934200286865234
1775033685577579500,0.23057958984375,9.779465675354004,1.6582261323928833,-0.5862415432929993
1775033685629060000,0.28206005859375,9.707681655883789,1.6582261323928833,-0.6436693072319031
1775033685680540700,0.333540771484375,9.623932838439941,1.7802600860595703,-0.5599204897880554
1775033685732021200,0.385021240234375,9.856036186218262,1.5912270545959473,-0.6269195079803467
1775033685783502000,0.436502197265625,9.592825889587402,1.6390835046768188,-0.7393822073936462
1775033685834982700,0.487982666015625,9.76989459991455,1.7994025945663452,-0.3326023519039154
1775033685886463200,0.539463134765625,9.710074424743652,1.5481562614440918,-0.5575276613235474
1775033685937943800,0.59094384765625,9.736394882202148,1.5720844268798828,-0.6149554252624512
1775033685989424400,0.64242431640625,9.695717811584473,1.7276179790496826,-0.5288137793540955
1775033686040905200,0.6939052734375,9.674181938171387,1.6079767942428589,-0.4977070987224579
1775033686092385800,0.7453857421875,9.81535816192627,1.588834285736084,-0.8159525394439697
1775033686143866400,0.796866455078125,9.650253295898438,1.7276179790496826,-0.7106683254241943
1775033686195347000,0.848346923828125,9.631111145019531,1.789831280708313,-0.7393822073936462
1775033686246827500,0.89982763671875,9.767501831054688,1.6582261323928833,-0.8279166221618652
1775033686298308400,0.951308349609375,9.762716293334961,1.5672988891601562,-0.6340979933738708
1775033686349789000,1.002788818359375,9.698110580444336,1.648654818534851,-0.5575276613235474
1775033686401269500,1.05426953125,9.729216575622559,1.6223337650299072,-0.5647061467170715
1775033686452750000,1.10575,9.7005033493042,1.7252250909805298,-0.6843472719192505
1775033686547131400,1.20013134765625,9.710074424743652,1.6654045581817627,-0.638883650302887
1775033686598612000,1.251612060546875,9.781859397888184,1.6223337650299072,-0.6675975322723389
1775033686650092500,1.303092529296875,9.745966911315918,1.7467604875564575,-0.6029912829399109
1775033686701573000,1.354572998046875,9.678967475891113,1.5984054803848267,-0.5599204897880554
1775033686753054000,1.406053955078125,9.643074989318848,1.887937068939209,-0.397208571434021
1775033686804534500,1.457534423828125,9.772287368774414,1.7324036359786987,-0.5096712112426758
1775033686856015000,1.50901513671875,9.76989459991455,1.7587246894836426,-0.4905286431312561
1775033686907495700,1.56049560546875,9.66221809387207,1.7012969255447388,-0.519242525100708
1775033686958976500,1.6119765625,9.722038269042969,1.6869399547576904,-0.37088751792907715
1775033687010457000,1.66345703125,9.657432556152344,1.8161523342132568,-0.30149564146995544
1775033687061937700,1.714937744140625,9.726823806762695,1.794616937637329,-0.3900300860404968
1775033687113418200,1.766418212890625,9.77707290649414,1.6821542978286743,-0.31824541091918945
1775033687164898800,1.81789892578125,9.798608779907227,1.7228323221206665,-0.42831525206565857
1775033687216379400,1.86937939453125,9.66939640045166,1.7228323221206665,-0.4019941985607147
1775033687267860200,1.920860107421875,9.760323524475098,1.674975872039795,-0.5479564070701599
1775033687319340800,1.9723408203125,9.7938232421875,1.8592232465744019,-0.32542386651039124
1775033687413721900,2.066721923828125,9.714859962463379,1.7419748306274414,-0.1818545162677765
1775033687465202400,2.118202392578125,9.805787086486816,1.6390835046768188,0.20578274130821228
1775033687516683300,2.169683349609375,9.767501831054688,1.794616937637329,0.16749759018421173
1775033687568163800,2.221163818359375,9.7005033493042,1.7012969255447388,0.02871387079358101
1775033687619644400,2.27264453125,9.573683738708496,1.4979069232940674,-0.23449662327766418
1775033687671125000,2.324125,9.719645500183105,1.7611174583435059,-0.7848458290100098
1775033687765506000,2.418506103515625,9.781859397888184,1.576870083808899,-0.22013968229293823
1775033687816987000,2.46998681640625,9.738788604736328,1.6079767942428589,-0.19381862878799438
1775033687868467500,2.521467529296875,9.635896682739258,1.8735800981521606,-0.16510476171970367
1775033687919948000,2.572947998046875,9.609575271606445,2.093719720840454,-0.09571290761232376
1775033688014329000,2.6673291015625,9.652647018432617,1.8472590446472168,-0.4570291340351105
1775033688065809700,2.7188095703125,9.736394882202148,1.765903115272522,-0.41156548261642456
1775033688117290200,2.770290283203125,9.609575271606445,1.7371892929077148,-0.45942193269729614
