time,seconds_elapsed,z,y,x
1775033685449494800,0.102494873046875,9.629914283752441,1.6552350521087646,-0.6191428303718567
1775033685500975400,0.153975341796875,9.749555587768555,1.6863417625427246,-0.5258227586746216
1775033685552456000,0.2054560546875,9.707681655883789,1.6857435703277588,-0.6143572330474854
1775033685603936800,0.256936767578125,9.736993789672852,1.6636099815368652,-0.6281159520149231
1775033685655417300,0.308417236328125,9.674779891967773,1.7150555849075317,-0.5856433510780334
1775033685706898000,0.35989794921875,9.728020668029785,1.7252250909805298,-0.589830756187439
1775033685758378500,0.41137841796875,9.732208251953125,1.516451358795166,-0.6945167779922485
1775033685809859300,0.462859375,9.667601585388184,1.8005990982055664,-0.5318048596382141
1775033685861340000,0.51433984375,9.713065147399902,1.6827524900436401,-0.4223332107067108
1775033685912820500,0.565820556640625,9.76989459991455,1.5822539329528809,-0.6185446381568909
1775033685964301000,0.617301025390625,9.716654777526855,1.6528422832489014,-0.5641079545021057
1775033686015781600,0.66878173828125,9.69511890411377,1.643869161605835,-0.48394837975502014
1775033686067262500,0.720262451171875,9.738788604736328,1.6109678745269775,-0.6789634227752686
1775033686118743000,0.771742919921875,9.733404159545898,1.6869399547576904,-0.7848458290100098
1775033686170223600,0.8232236328125,9.677172660827637,1.7330018281936646,-0.6813562512397766
1775033686221704200,0.8747041015625,9.7005033493042,1.7276179790496826,-0.8027920126914978
1775033686273184800,0.926184814453125,9.717252731323242,1.6007983684539795,-0.7806583642959595
1775033686324665600,0.97766552734375,9.746564865112305,1.6205391883850098,-0.5724828243255615
1775033686376146200,1.029146240234375,9.710672378540039,1.633101463317871,-0.5288137793540955
1775033686427626800,1.080626708984375,9.732208251953125,1.6971094608306885,-0.6825526356697083
1775033686479107300,1.132107421875,9.707083702087402,1.721037745475769,-0.6191428303718567
1775033686530588200,1.183588134765625,9.708877563476562,1.6947166919708252,-0.6358926296234131
1775033686582068700,1.23506884765625,9.728020668029785,1.6420745849609375,-0.6251249313354492
1775033686633549300,1.28654931640625,9.772287368774414,1.7371892929077148,-0.600000262260437
1775033686685030000,1.33802978515625,9.67777156829834,1.6767704486846924,-0.5647061467170715
1775033686736510500,1.389510498046875,9.625727653503418,1.7976080179214478,-0.4749752879142761
1775033686787991300,1.4409912109375,9.735796928405762,1.8083757162094116,-0.45583271980285645
1775033686839471900,1.492471923828125,9.736993789672852,1.7425731420516968,-0.48454657196998596
1775033686890952400,1.543952392578125,9.7005033493042,1.7282161712646484,-0.49351966381073
1775033686942433000,1.59543310546875,9.715457916259766,1.654038667678833,-0.4630111753940582
1775033686993913900,1.646913818359375,9.684351921081543,1.7647067308425903,-0.2871387302875519
1775033687045394400,1.69839453125,9.747162818908691,1.7730815410614014,-0.3355933725833893
1775033687096875000,1.749875,9.69930648803711,1.731805443763733,-0.28654050827026367
1775033687148355600,1.80135546875,9.736993789672852,1.7198412418365479,-0.37028929591178894
1775033687199836200,1.852836181640625,9.726225852966309,1.7389838695526123,-0.4863412082195282
1775033687251316700,1.904316650390625,9.771689414978027,1.6719847917556763,-0.5222335457801819
1775033687302797600,1.955797607421875,9.645467758178711,1.8287147283554077,-0.23988047242164612
1775033687354278100,2.007278076171875,9.729815483093262,1.7784653902053833,-0.3200400173664093
1775033687405758700,2.0587587890625,9.696913719177246,1.7545372247695923,-0.16271193325519562
1775033687457239300,2.1102392578125,9.692726135253906,1.6863417625427246,0.27337998151779175
1775033687508719900,2.161719970703125,9.729815483093262,1.7641085386276245,0.23688943684101105
1775033687560200700,2.21320068359375,9.707083702087402,1.7581263780593872,0.07477571070194244
1775033687611681300,2.264681396484375,9.658628463745117,1.6037893295288086,-0.1788634955883026
1775033687663161900,2.316161865234375,9.872786521911621,1.7204394340515137,-0.7698906660079956
1775033687714642400,2.367642333984375,9.768099784851074,1.6791633367538452,-0.3481557071208954
1775033687766123000,2.419123046875,9.7669038772583,1.5774682760238647,-0.2147558331489563
1775033687817603600,2.470603515625,9.745368003845215,1.6163517236709595,-0.19561325013637543
1775033687869084400,2.52208447265625,9.641280174255371,1.8789639472961426,-0.15613168478012085
1775033687920565000,2.57356494140625,9.611370086669922,2.0829520225524902,-0.1136590763926506
1775033687972045600,2.625045654296875,9.674779891967773,2.0614166259765625,-0.3684946894645691
1775033688023526100,2.676526123046875,9.68076229095459,1.8239290714263916,-0.44446679949760437
1775033688075006700,2.7280068359375,9.765109062194824,1.7832510471343994,-0.45523449778556824
1775033688126487300,2.7794873046875,9.626923561096191,1.7892330884933472,-0.44327038526535034
1775033688177968000,2.830968017578125,9.626325607299805,2.0207388401031494,-0.4630111753940582
1775033688229448700,2.88244873046875,9.616754531860352,2.292922258377075,-0.5306084156036377
1775033688280929300,2.93392919921875,9.605986595153809,2.046461582183838,-0.6538388133049011
1775033688332409900,2.985409912109375,9.642477035522461,2.0201404094696045,-0.6873382925987244
1775033688383890400,3.036890380859375,9.683155059814453,1.9752750396728516,-0.47557350993156433
1775033688435371000,3.08837109375,9.720842361450195,1.8137595653533936,-0.23748764395713806
1775033688486851600,3.1398515625,9.702896118164062,2.0518453121185303,-0.4426721930503845
1775033688538332200,3.191332275390625,9.731609344482422,1.673181176185608,-0.01136590726673603
1775033688589813000,3.24281298828125,9.747760772705078,2.012363910675049,0.40259242057800293
1775033688641293600,3.29429345703125,9.65803050994873,1.9262222051620483,0.22492532432079315
1775033688692774100,3.345774169921875,9.749555587768555,1.9100706577301025,-0.07357929646968842
1775033688744254700,3.397254638671875,9.67657470703125,1.9974087476730347,-0.5700899958610535
1775033688795735300,3.4487353515625,9.582656860351562,1.8789639472961426,-0.9559326171875
1775033688847215900,3.5002158203125,9.678369522094727,1.9591234922409058,-0.3236292600631714
1775033688898696400,3.551696533203125,9.553942680358887,2.0650060176849365,-0.16510476171970367
1775033688950177300,3.60317724609375,9.744172096252441,1.9752750396728516,-0.4989035129547119
1775033689001657900,3.654657958984375,9.747760772705078,1.7306089401245117,-0.42711883783340454
1775033689053138400,3.706138427734375,9.569496154785156,2.073979139328003,-0.06400800496339798
1775033689104619000,3.757618896484375,9.626325607299805,2.0572292804718018,-0.05383851006627083
